sourcenotation;sourcelabel;targetnotation
153.23;Concepts and concept formation;CP 4000
153.24;Abstraction;
153.3;Imagination, imagery, creativity;
153.32;Imagery;
153.35;Creativity;CR 5000
153.35;Creativity;MR 6300
153.35;Creativity;QP 300
153.35;Creativity;QV 570
153.4;Thought, thinking, reasoning, intuition, value, judgment;CP 4000
153.4;Thought, thinking, reasoning, intuition, value, judgment;CP 4100
153.4;Thought, thinking, reasoning, intuition, value, judgment;MR 6300
153.43;Reasoning;
153.432;Inductive reasoning;
153.433;Deductive reasoning;
153.44;Intuition;ER 955	
153.45;Value;BK 2015
153.45;;MR 7200
153.46;Judgment;CP 4200
153.6;Communication;BV 9350 - BV 9450
153.6;	;BU 6150
153.6;;MR 6600
153.6;;WT 3700
153.6;		;CV 3500
153.68;Listening;
153.69;Nonverbal communication;CV 3500
153.7;Perceptual processes;CP 2000
153.73;Basic elements;
153.733;Attention;CP 6000
153.736;Subliminal perception;		
153.74;Errors (Normal illusions);YO 3900 - YO 3999
153.75;Types of perception;
153.752;Spatial perception;
153.753;Time and rhythm perception;
153.754;Movement perception;WW 1900 - WW 1939
153.758;Face perception;
153.8;Will (Volition);CC 7220
153.83;Choice and decision;CM 5500
153.85;Modification of will;
153.852;Persuasion;
153.853;Brainwashing;
153.854;Conformity;
153.9;Intelligence and aptitudes;
153.90287;Testing and measurement;CT 1000 - CT 1900
153.90287;			;CR 5000
153.93;Intelligence tests;CS 3000
153.94;Aptitude tests;CS 3000
153.94001-153.94999;Tests for aptitudes in specific fields;CR 5000
153.9478;Musical aptitude tests, ...;LR 56962
153.98;Superior intelligence;CR 5000
154;Subconscious and altered states and processes;
154.2;The subconscious;CU 2000
154.2;			;CP 4600
154.2;		;CP 4000
154.3;Daydreams, fantasies, reveries;YH 3600 - YH 3699
154.3;			;YH 4300 - YH 4399
154.4;Altered states of consciousness;
154.6;Sleep phenomena;CP 9000
154.6;			;AR 24760
154.6083;Co-sleeping, ...;
154.60833;Preschool children--Sleep, ...;
154.60835;Sleep--adolescents, ...;
154.63;Dreams;CP 9000
154.63;		;YH 4300 - YH 4399
154.630835;Dreams--adolescents, ...;
154.632;Nightmares;CP 9000
154.634;Analysis of dreams;CP 9000
154.634;		;CU 8000
154.634;		;CU 2000
154.634;		;YH 4300
154.64;Sleepwalking (Somnambulism);CP 9000
154.7;Hypnotism;CP 9000
154.7;		;YH 8000 - YH 8099
154.72;Animal magnetism;
154.76;Induction of hypnosis;
154.77;Hypnotic phenomena;
154.772;Phenomena during trance;BM 9380
