sourcenotation;targetnotation
615;YE 4700 - YE 4799
615;YF 1900 - YF 1999
615;YF 5300 - YF 5399
615;YG 2500 - YG 2799
615;YH 2000 - YH 2299
615;YI 2100 - YI 2199
615;YI 3600 - YI 3699
615;YK 1800 - YK 1899
615;YK 4300 - YK 4399
615;YK 6400 -YK 6499
615;YK 7700 - YK 7799
615;YK 8050 - YK 8078
615;YM 2000 - YM 2099
615;YM 5200 - YM 5299
615;YN 1900
615;YN 6600 - YN 6699
615;YO 2200 - YO 2299
615;YP 3400 - YP 3499
615;YP 3800 - YP 3899
615;YP 8200 - YP 8299
615;YQ 1800 - YQ 1899
615;YR 3000
615;YR 4000 - YR 9599
615;YT - YU
616;YD -YE
616;XE 6000
616;XE 7800
616;XE 9000
616;XE 9300
616;XE 9600
616;XG 8700
616;YB 4000
616;YB 4100
616;YB 4300
616;YB 4600
616;YB 5200
616;YB 6800
616;YB 6900
616;YB 8300
616;YB 9800
616;YC 3000 - YC 4499
616;YC 5600
616;YC 7000
616;YC 8200
616;YC 9300
616;YD 1400 - YD 1999
616;YD 1850
616;YD 9700 - YD 9999
616;YE 2800
616;YF 2300 - YF 2399
616;YF 5000 - YF 5499
616;YG 3900
616;YG 4000
616;YG 4300
616;YG 4500
616;YG 6300
616;YG 6900
616;YG 7400
616;YH 5000 - YH 6599
616;YK 2000 - YK 2599
616;YK 9100 - YK 9199
616;YM 2400 - YM 2499
616;YM 3600 - YM 4699
616;YM 6600 - YM 6799
616;YO 4100
616;YO 4400
616;YP 3200
616;YP 3500
616;YP 4000 - YP 5299
616;YP 7500 - YP 7650
617;YI
617;YP
617;YO
617;YN
617;YN
617;YB - YC
618;YM
618;YB 4800 - YB 5399
618;YQ
620;AL 33600
620;ZG - ZS 
621;U
622;ZK
623;MX - MZ
623;ZO 6200
623;ZO 6230
623;ZO 6240
624;ZI
625;ZO
627;ZI 6700 - ZI 6889
628;ZI 8000 - ZI 8860
629;ZL
629;ZM
629;ZN
629;ZP
629;ZQ
629;ZS
630;ZA - ZE
631;ZD 10000 - ZD 49099
631;ZD 50000 - ZD 59099
631;ZD 60000 - ZD 69999
631;ZD 70000 - ZD 80099
632;ZC 25000 - ZC 27900
633;ZC 33000 - ZC 33999
634;ZC 50000 - ZC 69999
634;ZC 70000 - ZC 88700
635;ZC 50000 - ZC 53999
636;ZD 10000 - ZD 49099
637;ZE 26000
637;ZE 27500
638;ZD 44000 - ZD 45999
639;ZC 90000 - ZC 93940
639;ZC 38000 - ZD 43599
640;ZE 70000 - ZE 89000
640;DL 8000
640;QW
641;ZE 75000 - ZE 75099
641;ZE 50000 - ZE 68099
642;LC 17000 - LC 17695
642;ZE 79000 - ZE 79099
643;ZH 8000 - ZH 8985
644;ZI 8000 - ZI 8860
644;ZE 80500 - ZE 80599
645;ZH 8950
645;ZE 83000
646;ZE 85500
646;ZS 5700 - ZS 7500
647;ZE 72000
647;QW                
648;ZE 72000
649;MS 1900 - MS 2050
649;DG 7100
650;QP
651;QP 344
652;QP 344
652;AM
653;AM 26000 - AM 27500
