uri,created,toNotation,fromNotation,type
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637563,2024-10-30,800665243,2081016-7,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637571,2024-10-30,800191285,4442486-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663758X,2024-10-30,800627023,605909-0,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637598,2024-10-30,800000423,4121497-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637601,2024-10-30,800004904,4173351-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663761X,2024-10-30,800012136,1191795985,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637628,2024-10-30,800013386,4156629-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637636,2024-10-30,800017934,4745512-3,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637644,2024-10-30,800019884,4223209-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637652,2024-10-30,800019884,4223209-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637660,2024-10-30,800024003,4294843-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637679,2024-10-30,800034084,4141581-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637687,2024-10-30,800036900,4063141-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637695,2024-10-30,800042387,4178977-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637709,2024-10-30,800044302,4153189-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637717,2024-10-30,800046394,4463544-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637725,2024-10-30,800046857,4272074-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637733,2024-10-30,800048345,4792394-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637741,2024-10-30,800053481,7615575-4,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663775X,2024-10-30,800063700,4291671-9,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637768,2024-10-30,800076391,4304417-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637776,2024-10-30,800078399,4015727-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637784,2024-10-30,800078614,4156629-4,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637792,2024-10-30,800082628,4077323-1,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637806,2024-10-30,800084818,4069292-9,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637814,2024-10-30,800096136,1177196859,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637822,2024-10-30,800097181,4341763-2,≈
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637830,2024-10-30,800098485,4078797-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637849,2024-10-30,800101820,4171237-7,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637857,2024-10-30,800102247,4162049-5,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637865,2024-10-30,800102647,4225431-0,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637873,2024-10-30,800108371,7615574-2,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637881,2024-10-30,800108420,4168006-6,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663789X,2024-10-30,800116842,4202902-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637903,2024-10-30,800134115,4382415-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-1346637911,2024-10-30,800134115,4382415-8,=
https://coli-conc.gbv.de/api/mappings/gnd-etiras-134663792X,2024-10-30,800134955,4032444-8,=
