sourcenotation;targetnotation;type
4001008-9;305.8987;close
4001016-8;2--798;exact
4001028-4;2--4965;exact
4001032-6;2--4347325;exact
4001049-1;2--7123;exact
4001085-5;2--4347382;broad
4001090-9;572.66;broad
4001103-3;2--4355126;broad
4001114-8;2--4695;exact
4001116-1;2--56913;broad
4001135-5;615.82;broad
4001150-1;2--435958;broad
4001155-0;2--4696;exact
4001156-2;512;close
4001158-6;515.35;broad
4001161-6;516.35;close
4001162-8;512.9422;exact
4001162-8;515.252;broad
4001164-1;512.2;broad
4001165-3;516.352;broad
4001166-5;512;broad
4001170-7;512.74;exact
4001173-2;571.298;broad
4001173-2;579.8;close
4001182-3;005.133;broad
4001183-5;005.1;broad
4001183-5;518.1;close
4001207-4;547.412;close
4001207-4;661.814;broad
4001210-4;362.292;close
4001216-5;641.26;close
4001216-5;641.875;broad
4001218-9;1--0874;broad
4001218-9;362.292092;close
4001220-7;362.292;close
4001223-2;394.13;close
4001236-0;700.415;close
4001236-0;704.946;broad
4001237-2;1--08652;close
4001238-4;1--086947;close
4001240-2;1--08652;close
4001242-6;306.87422;close
4001242-6;1--0851;broad
4001252-9;2--43832;broad
4001255-4;571.972;broad
4001257-8;362.19697;close
4001257-8;618.9297;broad
4001264-5;2--43371;exact
4001265-7;2--433714;broad
4001267-0;370.111;close
4001276-1;346.022;broad
4001281-5;025.43;broad
4001297-9;355.031;broad
4001302-9;338.5;related
4001304-2;617.956;broad
4001307-8;306.4;broad
4001312-1;630.9143;broad
4001312-1;636.0845;related
4001317-0;630.9143;broad
4001328-5;2--4947;close
4001335-2;2--4947;broad
4001336-4;411;broad
4001336-4;4--813;related
4001347-9;577.538;broad
4001350-9;2--4346412;broad
4001377-7;2--5173;broad
4001381-9;247.1;broad
4001389-3;2--494774;exact
4001393-5;704.944;close
4001401-0;2--435637;broad
4001409-5;2--432221;broad
4001413-7;362.6;broad
4001416-2;2--4343263;exact
4001420-4;362.61;broad
4001420-4;618.970231;close
4001426-5;618.970231;broad
4001426-5;362.61023;related
4001433-2;2--4346414;broad
4001446-0;1--0846;close
4001460-5;338.9;broad
4001469-1;305.2;close
4001475-7;618.97689;close
4001477-0;613.710846;close
4001477-0;796.0846;broad
4001478-2;305.2;related
4001479-4;331.252;close
4001479-4;332.0240145;broad
4001479-4;342.0686;related
4001479-4;344.01252;broad
4001480-0;930;close
4001480-0;1--0901;broad
4001522-1;2--4347328;broad
4001531-2;284.8;broad
4001538-5;2--431821;exact
4001546-4;2--433672;exact
4001573-7;546.673;close
4001573-7;669.722;exact
4001573-7;620.186;broad
4001575-0;620.186;broad
4001577-4;363.73849;related
4001577-4;571.954673;broad
4001586-5;620.186;broad
4001590-7;553.67;broad
4001604-3;2--43332;broad
4001606-7;2--4343544;broad
4001608-0;2--4343544;exact
4001615-8;617.675;broad
4001623-7;384.54;broad
4001623-7;621.38416;close
4001634-1;2--43344;close
4001635-3;2--435958;broad
4001654-7;362.173;broad
4001656-0;595.796;exact
4001670-5;2--7;broad
4001671-7;070.449973;related
4001705-9;547.042;close
4001705-9;661.894;related
4001708-4;615.329;broad
4001720-5;289.7092;related
4001720-5;289.73;broad
4001727-8;2--4359138;exact
4001735-7;546.7112;broad
4001735-7;661.34;close
4001739-4;564.53;close
4001756-4;537.6223;broad
4001766-7;362.299;related
4001766-7;615.785;broad
4001766-7;616.864;close
4001770-9;666.3;broad
4001773-4;617.58059;close
4001783-7;2--492352;exact
4001804-0;342.088;close
4001807-6;306.44089;broad
4001807-6;408.9;close
4001808-8;342.068;related
4001830-1;572.4;broad
4001831-3;571.29;broad
4001833-7;617.96;broad
4001839-8;615.781;close
4001839-8;617.96;broad
4001847-7;617.96;broad
4001848-9;362.299;broad
4001848-9;613.8;related
4001848-9;615.783;close
4001848-9;616.8632;related
4001862-3;302.2244;broad
4001862-3;305.56;related
4001862-3;1--08694;broad
4001863-5;302.2244;broad
4001865-9;515;close
4001867-2;516.3;close
4001869-6;146.4;close
4001869-6;401;broad
4001870-2;512.73;close
4001871-4;515.942;close
4001875-1;616.09;close
4001880-5;635.93485;close
4001886-6;616.97;broad
4001887-8;335.83;close
4001887-8;321.07;broad
4001887-8;320.57;close
4001895-7;571.3;close
4001909-3;2--468;close
4001912-3;2--8;broad
4001919-6;2--434322;broad
4001937-8;2--4679;exact
4001967-6;155.33;broad
4001967-6;306.765;related
4001968-8;616.65;close
4001979-2;346.052;broad
4001988-3;110;related
4001990-1;515.35;broad
4001991-3;515.35;close
4001993-7;346.022;broad
4001997-4;338.521;broad
4002004-6;799.12;close
4002015-0;338.927;close
4002016-2;2--43832;broad
4002024-1;2--44184;exact
4002025-3;1--08622;broad
4002025-3;331.25729;related
4002025-3;331.792;close
4002025-3;352.63;broad
4002028-9;158;exact
4002029-0;616.122;close
4002030-7;616.1307548;close
4002030-7;616.1307572;broad
4002046-0;420;close
4002046-0;820;broad
4002053-8;152.46;close
4002053-8;155.41246;broad
4002053-8;616.8522;related
4002062-9;2--51225;exact
4002063-0;549.752;broad
4002065-4;150.1954;broad
4002067-8;147;broad
4002069-1;150.1954;broad
4002084-8;2--431783;broad
4002094-0;332.632;broad
4002096-4;657.73;broad
4002100-2;658.23;broad
4002106-3;346.0922;broad
4002107-5;332.6323;close
4002107-5;346.0666;broad
4002120-8;2--5496;broad
4002138-5;362.29286;broad
4002144-0;616.85262;close
4002144-0;618.9285262;broad
4002145-2;546;close
4002158-0;395.4;related
4002170-1;2--433278;exact
4002171-3;2--43328;broad
4002174-9;121.3;broad
4002179-8;385.24;broad
4002192-0;799.2;broad
4002195-6;153.1;related
4002198-1;342.064;broad
4002204-3;645.2;broad
4002204-3;729.4;related
4002204-3;667.6;close
4002204-3;671.73;related
4002208-0;2--989;exact
4002210-9;621.384135;broad
4002210-9;621.3824;close
4002214-6;3B--08;broad
4002230-4;301;broad
4002230-4;599.9;close
4002230-4;569.98;broad
4002237-7;299.935;close
4002245-6;615.716;close
4002252-3;370.11;broad
4002252-3;371.04;related
4002257-2;547.7;broad
4002257-2;615.329;close
4002263-8;615.78;broad
4002263-8;616.8527061;close
4002265-1;616.462061;close
4002272-9;571.9645;close
4002284-5;615.7;broad
4002285-7;615.36;broad
4002286-9;615.71;broad
4002286-9;616.132061;close
4002288-2;320.58;broad
4002290-0;571.967;close
4002291-2;320.532;broad
4002299-7;546.716;close
4002299-7;549.25;broad
4002299-7;669.75;close
4002299-7;620.1895;broad
4002304-7;616.969061;close
4002323-0;381.45002;broad
4002325-4;745.1;broad
4002332-1;615.77;broad
4002332-1;616.723061;close
4002333-3;305.8924;broad
4002336-9;614.48;broad
4002336-9;617.9101;close
4002341-2;289.1;close
4002357-6;401.43;broad
4002360-6;621.4;close
4002360-6;621.85;related
4002364-3;2--493222;exact
4002369-2;617.5547;broad
4002370-9;347.052;broad
4002375-8;305.896338;close
4002377-1;659.132;related
4002386-2;2--4511;exact
4002390-4;615.3295654;broad
4002394-1;320.560968;close
4002405-2;583.73;broad
4002405-2;634.11;close
4002406-4;634.11;broad
4002416-7;616.8552;close
4002416-7;371.9142;broad
4002417-9;808.882;broad
4002425-8;005.133;broad
4002431-3;202.3;broad
4002435-0;2--432242;broad
4002449-0;202;broad
4002449-0;239;close
4002450-7;3B--802;broad
4002455-6;225.92;broad
4002455-6;232.95;related
4002463-5;262.11;exact
4002464-7;270.1;broad
4002466-0;362.1782;broad
4002467-2;738.38;related
4002469-6;615.1023;broad
4002473-8;344.0416;close
4002475-1;615.1092;close
4002475-1;344.0416;broad
4002486-6;2--494712;exact
4002489-1;2--494714;exact
4002494-5;004.165;broad
4002495-7;746.445;close
4002496-9;415;broad
4002498-2;511.4;close
4002498-2;512.924;broad
4002508-1;2--4575;exact
4002509-3;628.15;close
4002511-1;751.422;broad
4002513-5;639.34;close
4002516-0;635.9674;broad
4002517-2;639.8;broad
4002518-4;597.073;broad
