fromNotation;x;y;z;toNotation
WE 3900;100;1;100;571.56
WE 4000;100;1;100;571.66
WE 4100;100;2;25;571.66
WE 4200;100;2;25;571.66
WE 4300;100;2;25;571.66
WE 4500;100;1;100;572.87
WE 4800;100;2;25;571.844
WE 5000 - WE 5700;100;1;100;571.64
WE 5000;100;1;100;571.64
WE 5100;100;2;25;571.64
WE 5150;100;1;100;572.577
WE 5160;100;1;100;572.696
WE 5200;100;2;50;572.696
WE 5229;100;2;25;572.696
WE 5240;100;2;25;572.696
WE 5260;100;2;25;572.696
WE 5300;100;2;50;571.64
WE 5320;100;2;25;571.64
WE 5320;50;4;50;572.84
WE 5340;100;2;25;571.64
WE 5360;100;2;25;571.64
WE 5400;50;4;50;571.64
WE 5400;50;4;50;572.3
WE 5420;100;2;25;571.64
WE 5440;100;2;25;571.64
WE 5460;100;2;25;571.64
WE 5500 - WE 5700;;;;
WE 5500;100;1;100;571.641
WE 5600;100;1;100;571.642
WE 5700;100;1;100;571.6429
WE 6000;25;4;25;571.633
WE 6000;50;4;50;572
WE 6008;50;4;25;572
WF 1000 - WF 9600;100;1;100;579
WF 1000;100;2;50;579
WF 1050;100;2;25;579
WF 1100 - WF 1199;100;2;25;579
WF 1200 - WF 1210;100;2;25;579
WF 1300;100;2;25;579
WF 1300;50;3;100;579.014
WF 1300;50;3;100;579.012
WF 1350;100;1;100;571.63329
WF 1400;100;1;100;571.63829
WF 2000 - WF 2539;100;1;100;579.17
WF 2000;100;1;100;579.17
WF 2100 - WF 2539;100;1;100;
WF 2100;100;1;100;579.1757
WF 2200;100;1;100;579.177
WF 2300;100;1;100;579.176
WF 2400;100;2;50;579.175
WF 2500;100;1;100;579.1782
WF 3000 - WF 4950;100;1;100;579.2
WF 3000;100;2;50;579.2
WF 3100 - WF 3199;100;2;25;579.2
WF 3300 - WF 3500;;;;
WF 3300;100;1;100;579.26
WF 3400;100;1;100;579.28
WF 3500;100;2;25;579.2
WF 3550 - WF 3750;;;;
WF 3550;;;;
WF 3600;50;4;50;616.24019
WF 3650;;;;
WF 3700;25;4;50;616.5019
WF 3750;50;4;50;616.994019
WF 4000 - WF 4850;100;1;100;579.24-579.25
WF 4000;100;1;100;579.24
WF 4100 - WF 4100;100;1;100;579.247
WF 4100;100;1;100;579.247
WF 4150 - WF 4350;50;3;100;579.243
WF 4150 - WF 4350;50;3;100;579.244
WF 4150;100;1;100;579.2445
WF 2000;100;1;100;579.2443
WF 4250;100;1;100;579.2432
WF 4350;100;1;100;579.2434
WF 4400;100;1;100;579.25
WF 4500 - WF 4500;100;1;100;579.257
WF 4500;100;1;100;579.2572
WF 4550 - WF 4750;100;1;100;579.254
WF 4550 - WF 4750;50;4;50;579.256
WF 4550;100;2;50;579.254
WF 4570;100;2;50;579.2562
WF 4650;100;2;25;579.25
WF 4700;100;2;25;579.256
WF 4750;100;1;100;579.2566
WF 4780 - WF 4780;50;4;50;579.256
WF 4780;100;1;100;579.2569
WF 4800;100;2;25;579.2
WF 4850;50;4;50;614.566
WF 4850;50;4;50;616.968
WF 4900;;;;
WF 4950;100;2;50;571.9644
WF 4950;50;4;50;616.0791
WF 5000 - WF 8900;100;1;100;579.3
WF 5000;100;2;50;579.3
WF 5100 - WF 5199;100;1;100;579.3021
WF 5200;100;1;100;571.633293
WF 5300;100;1;100;579.317
WF 5400 - WF 5600;;;;
WF 5400;25;4;50;579.33
WF 5400;25;3;100;579.35
WF 5400;25;4;50;579.36
WF 5500;25;4;50;579.33
WF 5500;25;3;100;579.34
WF 5500;25;4;50;579.36
WF 5550;100;2;50;579.323
WF 5600;100;2;23;579.3
WF 5700 - WF 5800;;;;
WF 5700;25;3;100;579.323
WF 5700;25;3;100;579.325
WF 5700;25;3;100;579.33
WF 5700;25;3;100;579.34
WF 5750;50;3;100;579.35
WF 5750;50;3;100;579.36
WF 5800;100;2;25;579.3
WF 5850 - WF 8900;;;;
WF 5850;100;1;100;579.321
WF 5900;100;1;100;579.327
WF 5950;100;2;50;579.327
WF 6000;100;2;50;579.327
WF 6050;25;4;25;616.92
WF 6100;25;4;25;616.9223
WF 6200;100;1;100;579.328
WF 6300;100;2;25;579.32
WF 6350;100;2;25;579.32
WF 6400;100;2;25;579.32
WF 6500;100;2;25;579.32
WF 6600;;;;
WF 6700;100;1;100;579.37
WF 6750;100;1;100;579.374
WF 6800;100;2;50;579.37
WF 6850;100;1;100;579.378
WF 6900;100;2;25;579.37
WF 7000;100;2;25;579.32
WF 7100;100;2;25;579.32
WF 7150;100;2;50;579.33
WF 7200;100;1;100;579.334
WF 7250;100;2;50;579.34
WF 7300;100;1;100;579.342
WF 7350;100;2;25;579.34
WF 7400;100;2;25;579.34
WF 7450;100;2;25;579.34
WF 7500;50;3;100;579.344
WF 7500;100;2;25;579.34
WF 7550;100;2;25;579.33
WF 7600;100;2;50;579.325
WF 7640;100;2;25;579.37
WF 7680;100;2;25;579.33
WF 7720;100;2;25;579.373
WF 7760;100;2;50;579.35
WF 7800;100;1;100;579.355
WF 7840;100;2;25;579.37
WF 7880;100;2;25;579.35
WF 7880;25;4;25;579.373
WF 7920;100;2;25;579.373
WF 7960;100;1;100;579.362
WF 8000;100;2;25;579.33
WF 8100;100;2;25;579.33
WF 8140;100;2;25;579.33
WF 8200;100;2;25;579.32
WF 8300;100;2;50;579.33
WF 8400;100;2;50;579.38
WF 8500;100;2;25;579.38
WF 8540;100;1;100;579.385
WF 8580;100;2;50;579.38
WF 8620;100;2;25;579.32
WF 8660;100;2;25;579.32
WF 8700;100;2;25;579.32
WF 8740;100;2;25;579.32
WF 8780;100;1;100;579.332
WF 8820;100;2;25;579.32
WF 8860;100;2;25;579.32
WF 8900;100;2;50;579.323
WF 9000 - WF 9600;100;2;50;579.5
WF 9000;100;2;50;579.5
WF 9100;100;1;100;571.633295
WF 9200 - WF 9299;100;2;25;579.5
WF 9300;100;1;100;579.517
WF 9400 - WF 9600;;;;
WF 9400;100;2;25;579.52
WF 9450;100;2;25;579.53
WF 9500;100;1;100;579.56
WF 9600;100;1;100;579.55
WF 9700 - WF 9795;100;1;100;660.6
WF 9700;100;2;50;660.6
WF 9700;50;3;100;660.603
WF 9700;50;3;100;660.607
WF 9700;50;3;100;660.6021
WF 9705;100;2;25;660.6
WF 9710;50;3;100;343.0786606
WF 9710;50;3;100;352.745
WF 9710;25;3;100;660.60272
WF 9720;100;1;100;660.63
WF 9725;100;2;50;660.63
WF 9725;100;2;50;660.28449
WF 9730;100;1;100;660.634
WF 9735;100;1;100;660.62
WF 9740 - WF 9779;100;2;50;660.63
WF 9740;100;2;50;660.63
WF 9780;100;2;50;338.476606
WF 9785;;;;
WF 9790;100;1;100;664.001579
WF 9795;50;4;50;628.4
WF 9795;50;4;50;620.11223
WF 9800 - WF 9920;100;1;100;571.96
WF 9800;100;2;50;571.96
WF 9800;25;3;100;571.96021
WF 9800;25;3;100;571.9603
WF 9800;25;3;100;571.9607
WF 9810;100;2;25;571.96
WF 9820 - WF 9859;100;2;50;571.96
WF 9820;100;2;50;571.96
WF 9821 - WF 9824;;;;
WF 9821;;;;
WF 9822;100;1;100;571.962
WF 9823;100;1;100;571.961
WF 9824;100;1;100;571.96199
WF 9825 - WF 9859;;;;
WF 9825;100;2;25;571.9629
WF 9826;100;2;25;571.9629
WF 9827;100;2;25;571.9629
WF 9828;100;1;100;571.9628
WF 9829;100;2;50;571.962
WF 9830;100;1;100;571.9627
WF 9831;100;2;50;571.962
WF 9832;100;1;100;571.9625
WF 9833;100;2;50;571.962
WF 9833;50;3;100;571.9623
WF 9834;100;1;100;571.9624
WF 9835;100;2;25;571.9629
WF 9836;100;1;100;571.9612
WF 9837;50;3;100;571.96134
WF 9837;50;3;100;571.96135
WF 9838;100;2;50;571.9612
WF 9838;25;3;100;571.961466
WF 9839;100;1;100;571.9615
WF 9840;100;1;100;571.96156
