fromNotation;toNotation
612.4;WW 6400
612.405;WD 5800
612.405;WW 3960 - WW 3999
612.405;WW 6400 - WW 6439
612.405;YG 3700 - YG 3799
612.41;WW 9120
612.41;WW 8640
612.41;WW 8644
612.41;YR 5500 - YR 5599
612.41;YC 2700 - YC 2799
612.41;XG 6600 - XG 6628
612.41;WW 9124
612.42;YC 2700 - YC 2799
612.42;WW 9124
612.43;YC 4200 - YC 4299
612.43;WW 6560
612.43;WW 6564
612.43;WW 9120
612.43;WW 9124
612.43;XG 7100 - XG 7128
612.44;XG 7000 - XG 7028
612.44;WW 6524
612.44;WW 6520
612.44;WD 5808
612.44;WD 5804
612.44;WD 5802
612.44;YC 4000 - YC 4099
612.45;YC 4450
612.45;YC 4300 - YC 4399
612.45;XG 7150 - XG 7178
612.45;WW 6604
612.45;WD 5818
612.45;WW 6600
612.46;WW 7004
612.46;WW 7280
612.46;XG 8100 - XG 8128
612.46;YK 9300 - YK 9399
612.46;YR 8000 - YR 8099
612.46;WW 7000
612.46;WW 7284
612.461;WX 2950
612.461;YK 8000 - YK 8028
612.461;YQ 6000 - YQ 6099
612.461;YR 7800
612.461;WX 2954
612.463;YK 9200 - YK 9299
612.463;WW 7000
612.463;WW 7004
612.463;YR 7900 - YR 7999
612.467;WW 7280
612.467;WW 7284
612.467;XG 8100 - XG 8128
612.467;YR 8000 - YR 8099
612.467;YK 9300 - YK 9399
612.49;XG 8600
612.492;WW 6484
612.492;WW 6444
612.492;WW 6440
612.492;WD 5826
612.527;WX 7404
612.527;WX 7400
612.527;WX 7200
612.527;WX 6904
612.527;CQ 6400
612.527;CQ 6200
612.527;CQ 6000
612.6;YM 5800
612.6;WX 5000 - WX 7600
612.61;YM 2500 - YM 2599
612.61;YC 4400 - YC 4499
612.61;WX 5504
612.61;WX 5500
612.61;WW 6684
612.61;WW 6680
612.61;WD 5823
612.62;YM 3200 - YM 3299
612.62;YM 3100
612.62;YM 3000 - YM 4799
612.62;YM 2500 - YM 2599
612.62;WX 5404
612.62;WD 5824
612.62;WW 6720
612.62;WW 6724
612.63;YM 8000 - YM 8099
612.63;YM 7300 - YM 7399
612.63;YM 7200 - YM 7299
612.63;YM 7199
612.63;YM 7100-
612.63;YM 7000 - YM 7099
612.63;YM 5800
612.64;WX 6000
612.64;WX 6004
612.64;WX 6900
612.64;YQ 2500 - YQ 2599
612.64;WW 6604
612.6401;WX 6704
612.6401;WX 6500
612.6401;WX 6504
612.6401;WX 6600
612.6401;WX 6604
612.6401;WX 6700
612.64018;WW 2200 - WW 4329
612.646;WX 6000
612.646;WX 6004
612.647;WX 6804
612.647;WX 6904
612.647;XG 2200 - XG 2499
612.647;YQ 2500 - YQ 2599
612.647;WX 6900
612.65;YQ 2200 - YQ 2299
612.65;XG 4600 - XG 4699
612.65;CQ 6000
612.652;CQ 6000
612.652;WX 6900
612.652;YQ 2500 - YQ 2599
612.652;XG 4600 - XG 4699
612.661;CR 6000
612.661;YM 3400 - YM 3499
612.661;CQ 6600
612.661;YQ 1900 - YQ 1999
612.662;WX 7400
612.662;WX 7404
612.662;YM 3400 - YM 3499
612.663;WX 7300
612.663;WX 7304
612.664;YM 7500 - YM 7599
612.665;YM 3400 - YM 3499
612.67;CQ 7000 - CQ 7400
612.67;WX 7500
612.67;WX  7504
612.67;YB 4800 - YB 5399
612.68;YB 4800 - YB 5399
612.68;WX 7504
612.68;WX 7500
612.68;MS 4000 - MS 4250
612.7;WW 5700
612.7;WW 5300
612.7;XG 7800 - XG 7900
612.7;ZX 9320 - ZX 9329
612.74;ZY 1550
612.74;WW 5700
612.74;WW 5704
612.74;WW 6080
612.74;WW 6084
612.74;XG 7900 - XG 7928
612.74;ZX 9320 - ZX 9329
612.741;WW 5704
612.741;WW 5700
612.743;YK 2500 - YK 2599
612.743;YG 1700 - YG 1799
612.744;WW 4160
612.744;WW 4164
612.75;WW 5300
612.75;WW 5304
612.75;WW 5540 - WW 5579
612.75;WW 5704
612.75;WW 5700
612.75;WW 5624
612.75;WW 5620
612.75;WW 5544
612.76;ZY 1550
612.76;ZX 9620 - ZX 9629
612.76;ZX 7900 - ZX 7909
612.76;WW 5704
612.76;WW 5700
612.78;YN 6200 - YN 6299
612.78;WW 1624
612.78;WW 1620
612.78;ET 215
612.78;ET 200 - ET 280
612.78;AP 73800
612.78;CP 6500
612.78;ER 800 - ER 885
612.78;ER 820
612.78;ER 900 - ER 990
612.79;WW 5004
612.79;WW 5000
612.791;WW 5004
612.791;YR 8900 - YR 8999 612.792
612.791;XI 5900 - XI 5999
612.791;WW 5004
612.791;WW 5000
612.7921;WX 3004
612.7921;WX 3000
612.7921;YC 3000 - YC 4499
612.7927;WW 5250 - WW 5289
612.798;WW 5004
612.798;WW 5000
612.799;WW 5004
612.799;WW 5000
612.8;WW 2204
612.8;WW 2200
612.8;WW 1624
612.8;WW 1620
612.8042;WW 2200
612.8042;WW 2204
612.8043;WW 2204
612.8043;WW 2200
612.80846;WW 2204
612.80846;WW 2200
612.81;YG 4000 - YG 4099
612.81;WW 2204
612.81;WW 2200
612.811;WW 4120
612.811;WW 3800
612.811;WW 4040
612.811;WW 4160
612.811;WW 4164
612.813;WD 2000 - WD 3100
612.813;WW 4120
612.813;YG 2400 - YG 2499
612.813;YG 2300 - YG 2399
612.814;WW 4120
612.814;WW 2200
612.814;WE 5200
612.814;WD 5000 - WD 5970
612.816;WW 4120
612.816;WW 7704
612.816;WW 7700
612.816;WW 4124
612.819;WW 2400
612.819;WW 3604
612.819;WW 3600
612.819;WW 2404
612.82;WW 2404
612.82;WW 2400
612.821;WX 3350
612.821;WX 3354
612.821;YH 4200 - YH 4299
612.8210833;WX 3354
612.8210833;WX 3350
612.8210835;WW 3350
612.8210835;WX 3354
612.822;YG 2400 - YG 2499
612.822;WW 2204
612.822;YG 3700 - YG 3799
612.822;YG 1700 - YG 1799
612.822;WW 4124
612.822;WW 4120
612.822;WW 2200
612.8232;CP 3000
612.8232;CP 3200
612.8232;CP 3500 - CP 3900
612.8232;CQ 5200
612.8232;CZ 1330
612.8232;YH 3600 - YH 3699
612.8233;CP 4000
612.8233;CZ 1320
612.8233;CR 5000
612.823312;CP 4400
612.823312;WW 4204
612.823312;WW 4200
612.823312;CP 5000
612.8233124;CP 4400
612.823342;YH 3600
612.823342;ER 940
612.823342;CP 4000
612.823342;CP 4100
612.82336;CP 6500
612.82336;YH 4400 - YH 4499
612.82336;ER 850
612.82339;CR 5000
612.82339;AK 26300
612.82339;YH 3600 - YH 3699
612.824;WW 7584
612.824;WW 7580
612.824;WW 7900
612.824;WW 7904
612.825;WW 2484
612.825;WW 2480
612.8252;WW 4164
612.8252;WW 5704
612.8252;CP 7000
612.8252;WW 4160
612.8252;ZX 7960 - ZX 7969
612.8252;WW 5700
612.8255;WW 1784
612.8255;CP 2500
612.8255;WW 1620 - WW 1740
612.8255;WW 1620 - WW 4329
612.8255;WW 1780 - WW 1940
612.8255;WW 4250
612.826;WW 2480
612.826;WW 2484
612.8264;WW 2564
612.8264;WW 2560
612.8267;WW 3800 612.827
612.8267;WW 2620
612.8267;WW 2624
612.8267;WW 2780
612.8267;WW 2784
612.828;WW 2864
612.828;WW 2860
612.83;WW 3244
612.83;WW 3240
612.841;YO 8400 - YO 8499
612.841;YO 7500 - YO 7599
612.841;YO 7400 - YO 7499
612.842;YO 7600 - YO 7699
612.843;YO 8100 - YO 8199
612.843;YO 9000 - YO 9099
612.844;YO 8200 - YO 8299
612.844;YO 8300 - YO 8399
612.846;YO 7100 - YO 7199
612.846;WW 1780
612.846;WW 1784
612.846;CP 2500
612.846;YO 7300 - YO 7399
612.846;YO 7200 - YO 7299 612.847
612.85;YN 3100
612.85;WW 1664
612.85;WW 1660
612.85;ET 250
612.85;ER 985
612.85;CP 2500
612.851;YN 3200 - YN 3299
612.854;YN 3300 - YN 3399
612.858;YN 3500
