sourcenotation;targetnotation
343.052304; PP 3470 - PP 3479
343.052304; PP 5300 - PP 5499
343.052304; PP 6100 - PP 6109 
343.05232; PP 3470 - PP 3479
343.05232; PP 3550
343.05233; PP 6010
343.05233; PP 6040 - PP 6049
343.05233; QX 400
343.05233; QL 610 - QL 620
343.05233; PP 5520 - PP 5529
343.05234; PP 3060 - PP 3080
343.05234; PP 6080 - PP 6089
343.05234; QL 810
343.05236; PP 5580 - PP 5589
343.05236; QL 810
343.05237; PP 5620
343.05238; PP 3470 - PP 3479
343.05238; PP 5320 - PP 5329
343.0524; QL 611
343.0524; PP 5520 - PP 6359
343.05242; QL 611
343.05242; PP 5520 - PP 6359
343.052424; QL 611
343.05244; PP 5620
343.05244; QL 810
343.05245; QL 633
343.05245; PP 5490 - PP 5499 
343.05246; QL 611
343.05246; PP 6220 - PP 6229
343.05248; QL 418 - QL 470
343.05248; PP 6780 - PP 6789
343.05248; PP 6260 - PP 6269
343.05248; PP 8000 - PP 8999
343.0526; QL 600
343.0526; PP 6180 - PP 6189
343.0526; PP 6820
343.0526; PP 6830 - PP 6839
343.0526; PP 6840 - PP 6849
343.0526; PP 6960 - PP 6969
343.053; PP 5340  - PP 5349
343.0532; QL 631
343.0532; PP 5340 - PP 5349
343.0535; PP 5340 - PP 5349
343.054; QL 630 - QL 633
343.054; PP 5400 - PP 5499
343.0542; PP 6300 - PP 6309 
343.0543; QL 410
343.0546; PP 5440 - PP 5499
343.0546; QL 630 - Ql 633
343.0546; PP 4100 - PP 4109
343.055; PP 4520 - PP 4649
343.055; QL 641
343.0552; PP 7000 - PP 7999
343.0553; PP 4500 - PP 4899
343.0553; QL 640 - QL 645
343.0558; PP 4900 - PP 5299
343.0558; PP 3920
343.056; PP 7000 - PP 7999 
343.056; QL 644
343.057; AP 99900
343.057; AN 31400
343.057; PP 7000 - PP 7999 
343.062; PP 5520 - PP 6359
343.064; PP 4040 - PP 4049
343.066; PP 4020 - PP 4029
343.0662; PE 382 - PE 395
343.0662; PE 620
343.0662; PE 570
343.0662; PS 3780
343.0662; QP 447
343.0668; PD 3200
343.0668; PN 263
343.067; PP 6370
343.067; QL 820
343.067; QL 612
343.067; PP 6440 - PP 6449
343.068; PP 4060 - PP 4069
343.068; PE 380
343.07; PS 3760 
343.071; PD 3540
343.071; PS 3730
343.071; PS 3740
343.072; QR 300 - QR 470
343.072; PE 780 - PE 790
343.0721; PN 760
343.0721; PE 750 - PE 760
343.0723; QR 300 - QR 470
343.0723; PE 750 - PE 760
343.0723; PU 1548
343.0725; QR 343
343.0725; PE 750 - PE 760
343.0725; PS 3360 - PS 3460
343.074; PR 2355
343.074; MK 9000
343.074; MS 8350 ff
343.074; QM 353
343.0742; PS 3460
343.0742; PP 7240 - PP 7249
343.742; PN 754
343.742; PS 3420
343.0745; PS 3500 - PS 3650
343.0745; PN 512
343.0745; PN 527
343.0745; MS 9050
343.0746; PS 4200 - PS 4220
343.0746; PN 524
343.0748; PR 2355
343.0748; MK 9000
343.075; PN 429
343.075; QP 542
343.076; PN 782 - PN 790
343.076; PS 3560
343.076; MK 5210
343.076371; QR 528
343.07649; PN 805
343.0766; PN 803 - PN 805
343.0766; PD 4460
343.07662142; PN 803 - PN 805
343.07692; PN 820
343.076922; PN 820
343.076928; PN 820
343.076929; PN 820
343.077; PN 830
343.077; QP 440
343.0772; PN 806 - PN 809
343.0772; QP 440
343.0772; QR 534 
343.0775; PN 806 - PN 809
343.07752; QR 532
343.07752; PP 4420 - PP 4429         
343.07755; --------
343.078; QR 560
343.078; PS 3870 - PS 3960
343.078; PN 742 - PN 770
343.078; PN 711 - PN 719 
343.08;  PE 338 - PE 360
343.08; PS 3780
343.08; QM 230
343.081; PN 711 -PN 719
343.0811; PN 711
343.0811; PE 350
343.0812; PE 350
343.0812; PN 711 - PN 719
343.0815; ---------
343.082; PE 780 - PE 790
343.082; PS 3760
343.082; AP 35700
343.082; AP 18800
343.082; AP 17300 - AP 17380
343.082; PN 850
343.083; PN 765
343.083; PE 780 - PE 790
343.084; PE 780 - PE 790
343.084; QP 630 - QP 690
343.085; PE 360
343.0853;PN 790
343.0853; PN 790
343.08556632; PN 790
343.087; QM 200 - QM 250
343.087; PT 334
343.087; PR 2353
343.0870261; PE 360
343.0877;PR 2353
343.0877; QM 230
343.0877; PE 360
343.0878; PR 2353
343.0878; PE 360
343.0878; QM 230
343.088; QR 240
343.09;  PN 289
343.09; PN 554
343.09; QR 600
343.091; QR 600
343.091; PN 554
343.092; QR 600
343.092; PN 844
343.0924; QR 600
343.0924; PN 812 - PN 819 T5
343.0925; QR 535
343.0925; PN 845
343.0926; QR 600
343.0926; PN 846
343.0927; PN 846
343.0927; QR 600
343.0928; PN 846
343.0928; QR 600
343.0929; QR 600
343.0929; PN 846
343.093; QR 800
343.093; PN 620 - PN 670
343.0932; PN 640
343.0932; PE 360
343.09322; PN 808 
343.09322; PS 3906
343.0933; PN 645
343.0933; PS 3580
343.0938; PN 675 - PN 680
343.0938; PN 406       
343.0939; PN 675 - PN 680
343.0939; QR 534
343.09395; PN 844 
343.09395; PS 3600
343.09395; QR 844
343.09396; PN 844
343.09396; PS 3600
343.09396; QR 844
343.09397; PN 844
343.09397; PS 3600
343.09397; PP 4420 - PP 4429 
343.094; PN 630 - PN 670
343.094; PS 3580
343.0942; PN 675 - PN 680
343.0944; PN 622 - PN 670
343.0946; PN 630 - PN 670
343.0946; PH 4250 - PH 4270
343.0948; PN 640
343.0948; PN 645
343.09482; PN 640
343.09482; PN 645
343.09483; PN 640 
343.095; PN 650
343.0952; PN 650
343.0955; PN 650
343.0958; PN 640
343.0958; PN 645
343.0958; PN 650
343.096; PN 655
343.096; PN 660
343.0962; PN 660
343.0964; PN 655
343.0965; PN 660
343.0965; PN 660
343.0966; PN 660
343.0967; PN 660
343.0968; PE 650 - PE 670 
343.097; PN 665
343.097; QR 840 
343.0975; PN 665
343.0976; PN 665
343.0976; PS 3580
343.0977; PN 548
343.0978; PN 548 
343.0979; PR 2206
343.0979; PR 2205
343.0979; PR 665
343.098; PN 675 - PN 680
343.0981; PN 675 - PN 680
343.0982; PN 630 - PN 670
343.0983; PN 650
343.099; PN 850 - PN 859
343.099; PS 3886
343.0992; PN 682 - PN 690
343.09923; PN 685
343.09925; PN 685 
343.0994;----------- 
343.09942; PN 690
343.09943; PN 685
343.09943; PN 685
343.09944; PN 853
343.09944; PZ 3000 - PZ 3800 
343.09945; PN 853
343.09946; PN 855
343.0998; PN 851
343.0999; PZ 3000 - PZ 3800
343.0999; PZ 4000 - PZ 4900
343.1; PR 2450 - PR 2465
343.2; PR 2400 - PR 2425
