sourcenotation;x;y;z;targetnotation
TQ 1034;100;2;50;560.28
TQ 1036;100;2;25;560.28
TQ 1038;100;2;25;560.28
TQ 1040;100;1;100;560.45
TQ 1042;;;;
TQ 1044;100;1;100;561.13
TQ 1050;50;4;50;560.17
TQ 1050;50;4;50;561.11
TQ 1052;50;4;50;560.17
TQ 1052;50;4;50;561.11
TQ 1054;100;1;100;561.112
TQ 1054;25;4;50;561.114
TQ 1054;25;4;50;561.115
TQ 1056;100;1;100;561.116
TQ 1056;25;4;50;561.117
TQ 1058;100;1;100;561.118
TQ 1058;25;4;50;561.119
TQ 1060;100;1;100;560.172
TQ 1060;25;4;50;560.174
TQ 1060;25;4;50;560.175
TQ 1062;100;1;100;560.176
TQ 1062;25;4;50;560.177
TQ 1064;100;1;100;560.178
TQ 1064;25;4;50;560.179
TQ 1066;50;4;25;576.84
TQ 1068;100;2;25;560.17
TQ 1070;100;2;25;560
TQ 1072;100;2;25;560.17
TQ 1074;100;2;25;560.45
TQ 1076;100;1;100;560.47
TQ 1078;100;2;50;560.47
TQ 1080;100;1;100;561.9
TQ 1100;100;1;100;561
TQ 2000;100;2;25;561.91
TQ 2200;100;2;25;561.91
TQ 3000;100;2;25;561.92
TQ 3200;100;1;100;561.9337
TQ 3400;100;1;100;561.935
TQ 3600;100;1;100;561.938
TQ 3800;100;1;100;561.939
TQ 4000;100;1;100;561.933
TQ 5000;100;2;25;561.9
TQ 5200;100;1;100;561.92
TQ 5400;100;2;25;561.9
TQ 5600;100;1;100;561.8
TQ 5800;100;1;100;561.7
TQ 6000;100;2;50;561.74
TQ 6200;100;1;100;561.79
TQ 6800;100;2;50;561.74
TQ 7000;100;1;100;561.72
TQ 8000;100;1;100;561.73
TQ 8200;100;2;50;561.73
TQ 8800;100;2;50;561.73
TQ 9000;100;2;25;561.7
TQ 9200;100;2;25;561.7
TR 1000;100;2;50;561
TR 1200;100;1;100;561.5
TR 1400;100;1;100;561.595
TR 2000;100;2;25;561.597
TR 2200;100;2;25;561.595
TR 2400;100;1;100;561.591
TR 2400;50;4;50;561.592
TR 3000;100;2;50;561.591
TR 3200;100;2;50;561.591
TR 3400;100;1;100;561.57
TR 3600;100;2;25;561.59
TR 3800;100;2;50;561.5
TR 3800;50;3;100;561.52-561.55
TR 5000;100;1;100;561.56
TR 5200;100;1;100;561.58
TR 5400;100;2;50;561
TR 5600;100;1;100;561.4
TR 6000;100;1;100;561.3
TR 6200;100;2;25;561.3
TR 8000;100;2;25;561.3
TS 1000;100;2;50;560
TS 2000;100;1;100;561.99
TS 2200;100;1;100;561.992
TS 2400;50;3;100;561.994
TS 2400;50;3;100;561.995
TS 2600;100;1;100;561.994
TS 2800;100;1;100;561.995
TS 3000;100;2;25;561.99
TS 3200;100;1;100;563.47
TS 3400;100;1;100;563.4
TS 3600;100;2;50;563.4
