fromNotation;sourcepreflabel;toNotation;targetpreflabel
251.978;Schulbibliotheken-Verwaltung;AN 70000;Bibliotheksverwaltung: Allgemeines
251.978;Schulbibliotheken-Verwaltung;AN 69500;Schulbibliotheken
025.2;Erwerbung und Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.21;Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.213;Zensur;AN 71900;Sonderfüragen
025.216;Aussonderung;AN 72400;Buchaussonderung, Behandlung veralteter Bestände
025.218;Bestandsentwicklung in einzelnen Arten von Einrichtungen;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines 
025.21874;öffentliche Bibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.21874;öffentliche Bibliotheken-Bestandsentwicklung;AN 69300;öffentliche Bibliotheken, Volksbüchereien, Public Library
252.187625;Kinderbibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
252.187625;Kinderbibliothek;AN 69550;Kinderbibliothek
252.187662;Krankenhausbibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
252.187662;Krankenhausbibliotheken-Bestandsentwicklung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
252.187663;Behinderte Personen-Bibliotheken für-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
252.187663;Behinderte Personen-Bibliotheken für-Bestandsentwicklung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
252.187663;Behinderte Personen-Bibliotheken für-Bestandsentwicklung;AN 67300;nach der Art der Benutzung
252.187665;Gefängnisbibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
252.187665;Gefängnisbibliotheken-Bestandsentwicklung;AN 69800;Gefängnisbibliotheken, Krankenhausbibliotheken u.ä.
025.21877;Wissenschaftliche Bibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.21877;Wissenschaftliche Bibliotheken-Bestandsentwicklung;AN 67700;Wissenschaftliche Bibliotheken
025.21878;Schulbibliotheken-Bestandsentwicklung;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.21878;Schulbibliotheken-Bestandsentwicklung;AN 69500;Schulbibliotheken
025.21878222;Primarschulbibliotheken-Buchauswahl;AN 71000;Erwerbung, Bestandsaufbau: Allgemeines
025.21878222;Primarschulbibliotheken-Buchauswahl;AN 69500;Schulbibliotheken
025.23;Erwerbung durch Kauf;AN 71400;Erwerbungsarten: Kauf
025.233;Beziehungen zu Lieferanten;AN 71400;Erwerbungsarten: Kauf
025.236;Tätigkeiten des Bropersonals;AN 71400;Erwerbungsarten: Kauf
